osmid,osm_type,name,transport_mode,lat,lon,operator,network,ref,public_transport,railway,highway,amenity,tram,bus,route,source
12189247141,node,Mosquée Elwahda,bus,33.6086709,-7.5454015,M'dina Bus,Casabus,626;633,platform,,bus_stop,,,yes,,
12189247144,node,Lycée Baroudi,bus,33.6044671,-7.5537273,,Casabus,,platform,,bus_stop,,,yes,,
12189247146,node,Prison Okacha,bus,33.6074901,-7.5580499,,Casabus,,platform,,bus_stop,,,yes,,
12189247148,node,Lesieur,bus,33.605697,-7.5625924,,Casabus,,platform,,bus_stop,,,yes,,
12189247150,node,Ancien Commissariat Aïn-Sebaa,bus,33.6094679,-7.565744,,Casabus,,platform,,bus_stop,,,yes,,
12189247152,node,Astral,bus,33.6077084,-7.5700016,,Casabus,,platform,,bus_stop,,,yes,,
12189247157,node,École El Jazira,bus,33.6098229,-7.5331868,,Casabus,665;671,platform,,bus_stop,,,yes,,
12189247159,node,Résidence Ain Sbaâ,bus,33.6075344,-7.5364074,Alsa Al Baida,Casabus,664;672,platform,,bus_stop,,,yes,,
12189247170,node,Terminus Mansouria,bus,33.6187359,-7.4792509,,Casabus,,platform,,bus_stop,,,yes,,
12189247172,node,Résidence B. Elbaida,bus,33.6160804,-7.4834948,Alsa Al Baida,Casabus,646;690,platform,,bus_stop,,,yes,,
12189247174,node,Résidence El Baida Qods,bus,33.6143082,-7.4877851,,Casabus,689;647,platform,,bus_stop,,,yes,,
12189247180,node,Hay Mbarka,bus,33.6152925,-7.5033821,Alsa Al Baida,Casabus,,platform,,bus_stop,,,yes,,
12189247182,node,Bernoussi,bus,33.6138794,-7.5036951,Alsa Al Baida,Casabus,,platform,,bus_stop,,,yes,,
12189247184,node,Cinéma Salam,bus,33.6090939,-7.5062363,Alsa Al Baida,Casabus,683,platform,,bus_stop,,,yes,,
12189247186,node,Pst. Pointage,bus,33.6106026,-7.5065649,Alsa Al Baida,Casabus,,platform,,bus_stop,,,yes,,
12189923311,node,Rabat Agdal,unknown,34.0017625,-6.8567392,ONCF,,,stop_position,stop,,,,,,
12189923312,node,Casa Voyageurs,unknown,33.5902535,-7.5900265,ONCF,,,stop_position,stop,,,,,,
12190068319,node,Station Emile Zola,bus,33.5966389,-7.5921744,,Casabus,,platform,,bus_stop,,,yes,,
12190068321,node,Acima (Zola),bus,33.5945306,-7.5954791,,Casabus,,platform,,bus_stop,,,yes,,
12190068324,node,Protection civil,bus,33.6059328,-7.5506853,,Casabus,,platform,,bus_stop,,,yes,,
12190068325,node,Rma Qods,bus,33.6128557,-7.4938268,Alsa Al Baida,Casabus,686,platform,,bus_stop,,,yes,,
12190068326,node,Rma Qods,bus,33.6130619,-7.4940145,Alsa Al Baida,Casabus,,platform,,bus_stop,,,yes,,
12191908981,node,Lycée Mohammed V,bus,33.5782845,-7.615198,,Casabus,2148;2151,platform,,bus_stop,,,yes,,
