commune_norm;commune_x;taux_jeunesse;taux_vieillesse;INIV;nb_atm;IEDU;Indice_accessibilite_x;Indice_transport;indice_densite_routiere;Indice_POI;densite_norm;Indice_POI_norm;indice_densite_routiere_norm;indice_transport_norm_x;indice_transport_norm_y;commune_key;commune_y;latitude;longitude;densite
adassil;Adassil;30.2;13.8;0.419;;0.4106;3.4;0.0;6.79;0.04;0.012419951596385;0.25;0.6834893048128342;0.3699866310160428;0.6524064171122995;adassil;adassil;31.110892;-8.494879;7059.0
aday;Aday;25.0;20.6;0.7492;;0.6194;2.93;0.0;5.83;0.07;0.0049566993881684;0.3776737967914438;0.6176470588235294;0.3699866310160428;0.5865641711229946;aday;aday;29.148011;-9.3001613;2825.0
adis;Adis;25.7;16.1;0.9355;;0.6597;0.94;0.0;1.87;0.04;0.0109533890462584;0.25;0.1504010695187165;0.3699866310160428;0.1330213903743315;adis;adis;29.6910723;-7.9861823;6227.0
adrej;Adrej;19.5;24.9;0.6811;;0.4576;0.69;0.0;1.35;0.07;0.0021169971426708;0.3776737967914438;0.0885695187165775;0.3699866310160428;0.0778743315508021;adrej;adrej;33.643253;-4.4382709;1214.0
afallaissen;Afalla Issen;33.0;15.2;0.3451;;0.2094;1.1;0.0;2.15;0.15;0.0127055082467703;0.5387700534759359;0.1901737967914438;0.3699866310160428;0.1741310160427807;afalla issen;afalla issen;30.9909182;-8.9771079;7221.0
afellaighir;Afella Ighir;19.4;27.9;0.7917;;0.5171;1.46;0.0;2.77;0.4;0.0042287061992233;0.7536764705882353;0.2757352941176471;0.3699866310160428;0.2717245989304813;afella ighir;afella ighir;29.503012;-8.817405;2412.0
afellandra;Afella N'dra;32.7;14.5;0.6991;;0.6071;0.33;0.0;0.57;0.22;0.0117113480565402;0.63201871657754;0.0227272727272727;0.3699866310160428;0.0207219251336898;afella n'dra;afella n'dra;30.7589021;-6.4551967;6657.0
aferkat;Aferkat;26.3;17.5;0.7923;;0.6085;1.97;0.0;3.94;0.0;0.0016657471272472;0.0875668449197861;0.4311497326203208;0.3699866310160428;0.4054144385026738;aferkat;aferkat;28.6711061;-10.2989505;958.0
afourar;Afourar;26.4;16.7;0.9385;;0.8054;2.7;0.0;5.32;0.22;0.0355870568804169;0.63201871657754;0.5865641711229946;0.3699866310160428;0.5641711229946524;afourar;afourar;32.209533;-6.535892;20202.0
afra;Afra;30.2;15.1;0.7101;;0.5868;1.06;0.0;2.0;0.29;0.0132924858058955;0.6895053475935828;0.1681149732620321;0.3699866310160428;0.1620989304812834;afra;afra;30.7109191;-6.2352243;7554.0
afsou;Afsou;28.2;17.5;0.4719;;0.2337;0.35;0.0;0.65;0.11;0.0035377296131059;0.4699197860962567;0.0277406417112299;0.3699866310160428;0.0230614973262032;afsou;afsou;34.8227807;-3.162641;2020.0
